gemeente,totaal_inwoners,totaal_mannen,totaal_vrouwen,totaal_0_15,totaal_15_25,totaal_25_45,totaal_45_65,totaal_65_plus,gemiddelde_woz,pct_eengezinswoning,totaal_koopwoningen,totaal_huurwoningen,gemiddeld_inkomen,totaal_laag_inkomen,totaal_bedrijfsvestigingen,gemiddelde_stedelijkheid
Haarlem                                 ,477414.0,233806.0,243343.0,81187.0,49791.0,139456.0,127302.0,80588.0,259.7606837606838,54.88135593220339,6475.0,5207.0,28.252991452991466,860.3999999999997,48820.0,1.4166666666666667
Haarlemmerliede en Spaarnwoude          ,16980.0,8436.0,8529.0,2624.0,2117.0,3647.0,5638.0,3004.0,327.6666666666667,84.0,524.0,271.0,29.825000000000003,21.6,1985.0,4.625
Haarlemmermeer                          ,437813.0,217693.0,219890.0,79475.0,52682.0,104579.0,131926.0,69826.0,284.2682926829268,80.56382978723404,6396.0,2895.0,29.067058823529404,363.19999999999993,44880.0,3.6538461538461537
Halderberge                             ,88799.0,44107.0,44727.0,13155.0,9223.0,18589.0,27663.0,19849.0,274.6,92.07692307692308,1912.0,672.0,26.831999999999997,111.3,7915.0,4.423076923076923
Hardenberg                              ,180506.0,91288.0,89153.0,32972.0,22883.0,40835.0,51255.0,31701.0,237.80232558139534,91.4795918367347,7587.0,2111.0,22.597849462365595,333.5,14110.0,4.83
Harderwijk                              ,138992.0,68653.0,70234.0,25806.0,16239.0,35515.0,38117.0,24155.0,257.7586206896552,71.34328358208955,4000.0,2593.0,25.559375000000003,383.29999999999995,11030.0,2.9871794871794872
Hardinxveld-Giessendam                  ,53607.0,26830.0,26772.0,10566.0,6979.0,12736.0,13652.0,9689.0,221.66666666666666,73.66666666666667,373.0,221.0,23.25,24.4,4940.0,3.5
Haren                                   ,58690.0,27974.0,30701.0,9925.0,5668.0,10752.0,16866.0,15434.0,363.6923076923077,86.1875,1232.0,362.0,34.157142857142865,60.49999999999999,5030.0,4.647058823529412
Harlingen                               ,47560.0,23963.0,23592.0,7653.0,5256.0,9750.0,13781.0,11055.0,155.92307692307693,85.46666666666667,953.0,535.0,22.80666666666667,127.10000000000001,4240.0,4.0625
Hattem                                  ,36105.0,17776.0,18319.0,6511.0,3929.0,7715.0,10256.0,7839.0,295.3636363636364,86.46153846153847,923.0,363.0,28.736363636363635,37.199999999999996,2785.0,4.384615384615385
